"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 19, 2021","412.91","416.70","416.71","410.59","189.02M","-1.00%"
"Mar 18, 2021","417.06","414.97","420.86","414.97","164.06M","0.74%"
"Mar 17, 2021","414.01","417.35","417.67","411.32","132.77M","-0.79%"
"Mar 16, 2021","417.31","414.82","418.06","414.11","155.16M","0.76%"
"Mar 15, 2021","414.18","416.58","417.69","413.61","161.31M","-0.47%"
"Mar 12, 2021","416.13","413.67","417.76","413.67","184.66M","1.24%"
"Mar 11, 2021","411.02","404.36","413.24","404.36","231.92M","1.87%"
"Mar 10, 2021","403.48","406.37","411.22","402.37","172.53M","-0.57%"
"Mar 09, 2021","405.79","407.33","408.83","399.37","313.26M","-0.62%"
"Mar 08, 2021","408.34","412.86","416.37","407.60","216.89M","-0.89%"
"Mar 05, 2021","412.00","413.32","413.78","405.93","293.66M","-0.52%"
"Mar 04, 2021","414.17","419.34","419.34","411.28","214.04M","-1.45%"
"Mar 03, 2021","420.27","414.45","420.27","412.40","198.31M","1.32%"
"Mar 02, 2021","414.80","411.00","422.41","411.00","229.89M","1.19%"
"Feb 26, 2021","409.91","421.19","421.19","406.59","297.50M","-2.98%"
"Feb 25, 2021","422.52","412.05","422.56","412.05","200.31M","3.77%"
"Feb 24, 2021","407.16","415.78","420.05","406.86","252.63M","-2.08%"
"Feb 23, 2021","415.82","415.07","419.58","410.84","228.35M","-0.25%"
"Feb 22, 2021","416.88","421.96","425.90","416.80","272.97M","-0.96%"
"Feb 19, 2021","420.94","417.98","421.36","411.58","246.86M","0.84%"
"Feb 18, 2021","417.44","423.92","425.38","417.44","181.37M","-1.59%"
"Feb 17, 2021","424.20","429.20","429.24","421.77","230.41M","-1.17%"
"Feb 16, 2021","429.24","427.80","432.17","426.77","174.07K","0.52%"
"Feb 15, 2021","427.01","420.85","428.64","420.60","191.24M","1.75%"
"Feb 10, 2021","419.65","418.40","421.48","414.77","184.76M","0.42%"
"Feb 09, 2021","417.91","420.71","424.94","417.87","201.53M","-0.25%"
"Feb 08, 2021","418.95","422.30","424.62","418.37","229.54M","-1.03%"
"Feb 05, 2021","423.30","419.84","424.20","417.85","221.56M","1.19%"
"Feb 04, 2021","418.31","425.92","426.23","415.58","263.57M","-1.62%"
"Feb 03, 2021","425.21","422.69","427.51","419.75","248.28M","0.99%"
"Feb 02, 2021","421.03","416.77","427.63","416.77","219.04M","1.34%"
"Feb 01, 2021","415.45","404.71","415.53","400.59","235.01M","2.69%"
"Jan 29, 2021","404.56","417.92","421.05","402.94","305.30M","-2.84%"
"Jan 28, 2021","416.40","422.92","422.92","413.34","242.94M","-1.72%"
"Jan 27, 2021","423.67","427.11","432.62","423.23","205.61M","-0.72%"
"Jan 26, 2021","426.73","436.27","437.19","425.64","236.60M","-2.42%"
"Jan 25, 2021","437.30","427.64","437.96","427.17","231.21M","2.38%"
"Jan 22, 2021","427.13","430.73","433.84","427.13","269.26M","-0.73%"
"Jan 21, 2021","430.27","425.29","431.05","424.64","302.48M","1.48%"
"Jan 20, 2021","424.01","425.17","429.39","419.27","259.50M","0.63%"
"Jan 19, 2021","421.35","410.21","423.82","409.67","259.93M","2.64%"
"Jan 18, 2021","410.50","419.70","419.70","408.69","289.24M","-2.36%"
"Jan 15, 2021","420.43","430.37","436.35","420.33","279.52M","-2.19%"
"Jan 14, 2021","429.85","430.43","431.54","427.13","284.70M","-0.12%"
"Jan 13, 2021","430.38","427.98","433.27","424.97","303.67M","0.59%"
"Jan 12, 2021","427.87","430.80","432.04","416.29","362.36M","-0.76%"
"Jan 11, 2021","431.13","431.69","449.04","424.16","545.78M","0.21%"
"Jan 08, 2021","430.22","412.06","431.99","412.06","499.11M","4.72%"
"Jan 07, 2021","410.81","404.00","414.65","403.99","460.33M","2.17%"
"Jan 06, 2021","402.08","406.33","411.21","401.06","429.08M","-0.97%"
"Jan 05, 2021","406.03","399.79","406.03","396.43","470.87M","1.54%"
"Jan 04, 2021","399.88","389.50","400.78","388.88","361.89M","2.72%"
"Dec 30, 2020","389.29","381.21","390.04","379.14","236.86M","2.10%"
"Dec 29, 2020","381.27","380.34","382.31","377.04","234.72M","0.35%"
"Dec 28, 2020","379.93","381.51","383.84","378.44","304.33M","0.20%"
"Dec 24, 2020","379.18","371.67","380.29","371.67","314.37M","2.12%"
"Dec 23, 2020","371.32","367.02","371.93","364.72","296.02M","1.33%"
"Dec 22, 2020","366.43","371.08","371.91","366.43","291.11M","-1.54%"
"Dec 21, 2020","372.18","371.51","372.44","368.05","252.57M","0.17%"
"Dec 18, 2020","371.55","372.02","373.37","370.50","307.53M","-0.12%"
"Dec 17, 2020","372.00","372.12","372.60","368.07","244.58M","-0.14%"
"Dec 16, 2020","372.53","371.86","374.53","371.03","188.95M","0.44%"
"Dec 15, 2020","370.88","371.75","372.64","367.70","243.33M","-0.18%"
"Dec 14, 2020","371.56","372.14","374.72","370.50","284.47M","-0.18%"
"Dec 11, 2020","372.24","370.45","374.30","370.39","331.02M","0.78%"
"Dec 10, 2020","369.37","370.74","372.68","365.76","344.58M","-0.57%"
"Dec 09, 2020","371.47","363.77","371.64","363.77","191.95M","2.21%"
"Dec 08, 2020","363.45","369.73","370.11","363.41","192.37M","-1.73%"
"Dec 07, 2020","369.86","368.59","371.51","365.32","221.80M","0.61%"
"Dec 04, 2020","367.63","363.28","369.67","363.23","281.11M","1.65%"
"Dec 03, 2020","361.66","360.36","361.66","358.45","206.86M","0.84%"
"Dec 02, 2020","358.66","354.33","359.15","354.00","220.90M","1.78%"
"Dec 01, 2020","352.40","349.37","353.26","349.07","260.00M","1.83%"
"Nov 30, 2020","346.05","354.70","354.78","346.05","339.06M","-1.89%"
"Nov 27, 2020","352.73","351.83","353.19","350.63","178.42M","0.17%"
"Nov 26, 2020","352.12","348.66","352.12","346.77","182.18M","1.10%"
"Nov 25, 2020","348.30","353.05","353.96","346.17","333.14M","-0.57%"
"Nov 24, 2020","350.28","350.30","352.55","348.61","295.44M","0.52%"
"Nov 23, 2020","348.46","341.51","348.94","340.60","380.84M","2.30%"
"Nov 20, 2020","340.62","339.48","341.71","338.59","179.11M","0.14%"
"Nov 19, 2020","340.16","338.56","340.42","337.51","215.10M","0.06%"
"Nov 18, 2020","339.96","341.07","341.81","338.64","231.64M","0.03%"
"Nov 17, 2020","339.85","340.84","342.57","339.06","403.20M","-0.23%"
"Nov 16, 2020","340.63","335.20","341.15","335.20","465.75M","2.28%"
"Nov 13, 2020","333.03","329.09","333.15","328.25","291.36M","1.00%"
"Nov 12, 2020","329.72","330.57","331.58","328.46","342.30M","-0.42%"
"Nov 11, 2020","331.12","327.04","331.46","327.01","323.23M","1.53%"
"Nov 10, 2020","326.13","326.33","327.00","323.79","331.19M","0.09%"
"Nov 09, 2020","325.83","325.25","328.02","324.51","276.82M","1.16%"
"Nov 06, 2020","322.10","322.72","324.28","320.61","143.96M","0.18%"
"Nov 05, 2020","321.51","315.74","321.51","315.27","186.09M","2.45%"
"Nov 04, 2020","313.83","314.31","315.62","311.37","209.92K","0.56%"
"Nov 03, 2020","312.07","308.14","312.35","308.01","129.00M","2.00%"
"Nov 02, 2020","305.95","302.67","306.43","301.37","111.03M","1.44%"
"Oct 30, 2020","301.60","308.91","309.08","301.58","178.91M","-2.69%"
"Oct 29, 2020","309.94","308.99","310.56","306.63","139.04M","-1.03%"
"Oct 28, 2020","313.17","310.66","313.30","309.44","120.21M","0.44%"
"Oct 27, 2020","311.80","311.50","313.93","310.55","162.32M","-0.55%"
"Oct 26, 2020","313.53","315.63","316.78","313.33","170.88M","-0.40%"
"Oct 23, 2020","314.79","314.98","315.83","312.31","198.02M","0.33%"
"Oct 22, 2020","313.77","313.62","314.29","311.55","140.73M","-0.63%"
"Oct 21, 2020","315.76","315.34","316.61","314.16","136.81M","0.33%"
"Oct 20, 2020","314.71","311.02","314.91","309.95","135.68M","0.68%"
"Oct 19, 2020","312.59","313.43","314.94","312.19","138.22M","0.24%"
"Oct 16, 2020","311.83","314.41","315.47","309.67","126.44M","-0.67%"
"Oct 15, 2020","313.92","315.76","315.89","312.40","124.41M","-0.84%"
"Oct 14, 2020","316.57","319.60","319.88","315.71","129.34M","-0.94%"
"Oct 13, 2020","319.58","321.04","321.45","316.98","126.74M","0.13%"
"Oct 12, 2020","319.15","318.99","320.01","317.67","140.94M","0.53%"
"Oct 08, 2020","317.47","320.31","320.38","316.60","168.69M","0.04%"
"Oct 07, 2020","317.35","312.34","317.44","311.82","124.43M","0.92%"
"Oct 06, 2020","314.45","315.13","316.48","313.03","139.89M","0.30%"
"Oct 05, 2020","313.51","309.65","314.66","309.09","157.99M","1.32%"
"Sep 29, 2020","309.44","310.01","311.34","308.52","138.82M","0.78%"
"Sep 28, 2020","307.03","306.49","308.34","304.64","173.18M","1.14%"
"Sep 25, 2020","303.57","305.38","305.55","301.93","156.86M","0.36%"
"Sep 24, 2020","302.48","304.85","306.98","301.95","181.25M","-2.31%"
"Sep 23, 2020","309.64","311.50","311.76","303.29","208.05M","0.27%"
"Sep 22, 2020","308.82","315.53","316.02","307.40","304.36M","-2.24%"
"Sep 21, 2020","315.89","318.13","320.86","314.78","165.86M","-0.79%"
"Sep 18, 2020","318.39","319.20","319.81","316.62","153.54M","0.12%"
"Sep 17, 2020","318.00","321.30","322.23","316.92","178.30M","-1.34%"
"Sep 16, 2020","322.31","323.14","324.19","321.52","146.88M","-0.32%"
"Sep 15, 2020","323.36","321.82","323.57","320.54","152.45M","0.74%"
"Sep 14, 2020","320.98","319.83","321.22","318.54","176.78M","1.43%"
"Sep 11, 2020","316.45","315.64","316.77","313.20","165.16M","-0.03%"
"Sep 10, 2020","316.53","317.92","318.38","315.46","234.27M","0.88%"
"Sep 09, 2020","313.77","313.54","315.90","312.90","198.50M","-1.14%"
"Sep 08, 2020","317.38","316.31","317.43","314.56","227.27M","1.18%"
"Sep 07, 2020","313.67","312.08","314.44","310.93","264.67M","0.53%"
"Sep 04, 2020","312.03","308.25","312.64","308.04","408.03M","-1.39%"
"Sep 03, 2020","316.43","314.73","317.46","314.45","342.18M","1.58%"
"Sep 02, 2020","311.50","311.69","312.92","308.52","337.04M","0.55%"
"Sep 01, 2020","309.81","309.08","311.15","307.63","342.81M","0.87%"
"Aug 31, 2020","307.14","315.46","316.11","307.12","312.18M","-1.63%"
"Aug 28, 2020","312.24","313.86","315.95","311.06","256.41M","0.28%"
"Aug 27, 2020","311.38","314.46","315.17","311.37","175.57M","-0.89%"
"Aug 26, 2020","314.19","313.61","315.08","309.74","193.54M","0.19%"
"Aug 25, 2020","313.59","312.45","314.14","310.57","197.82M","1.38%"
"Aug 24, 2020","309.33","306.86","310.27","303.39","142.21M","1.04%"
"Aug 21, 2020","306.16","306.17","309.88","303.15","166.30M","1.52%"
"Aug 20, 2020","301.59","310.45","312.77","301.15","249.74M","-3.81%"
"Aug 19, 2020","313.54","315.96","316.82","313.18","159.93M","0.22%"
"Aug 18, 2020","312.84","319.57","321.69","311.20","247.52M","-2.00%"
"Aug 14, 2020","319.24","321.59","322.66","316.28","260.40M","-1.26%"
"Aug 13, 2020","323.33","325.84","326.22","319.66","285.74M","0.20%"
